               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,               0.028,            0.028459,                   0,             0.98566,             0.99283,             0.99375,             0.76532,            0.026334,            0.017544,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.028565,            0.030839,                   0,             0.99197,              0.9919,              0.9942,             0.78078,            0.026109,            0.016665,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.02573,            0.027919,                   0,             0.98766,             0.99197,             0.99442,             0.75972,            0.024138,            0.016416,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.026262,            0.026931,                   0,             0.97167,             0.99088,             0.99422,             0.78914,             0.02468,            0.015986,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.028641,            0.029297,                   0,             0.98254,             0.99384,             0.99459,             0.79827,            0.024243,            0.015931,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.02725,            0.023434,                   0,             0.99141,             0.99518,             0.99492,             0.81202,            0.024098,            0.015751,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.028075,            0.028505,                   0,             0.98991,             0.99358,             0.99476,             0.80788,            0.023593,            0.015371,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.027225,             0.02576,                   0,             0.98828,             0.99197,             0.99434,             0.79347,            0.024259,             0.01552,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.026322,             0.02645,                   0,             0.99839,               0.993,             0.99498,             0.80719,            0.023678,            0.015363,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.026299,            0.027541,                   0,             0.99518,             0.99342,             0.99489,             0.79588,            0.023564,            0.016105,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.026099,            0.025555,                   0,             0.99312,             0.99679,             0.99484,             0.81657,            0.023734,            0.015637,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.02594,            0.024935,                   0,             0.99477,             0.99679,             0.99494,             0.80701,            0.023955,            0.015293,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.025209,             0.02361,                   0,             0.99665,             0.99679,             0.99495,             0.82555,            0.023794,            0.015351,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.024952,            0.027884,                   0,             0.99599,             0.99679,             0.99497,             0.80804,             0.02235,            0.015065,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.026675,            0.027116,                   0,             0.99476,             0.99679,             0.99497,             0.84544,            0.020721,            0.014814,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.024774,             0.02616,                   0,             0.99839,             0.99677,             0.99498,             0.83742,            0.021267,            0.014649,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.025567,            0.029913,                   0,             0.99613,             0.99679,             0.99498,             0.80021,            0.021863,            0.014901,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025351,            0.026177,                   0,             0.99471,             0.99679,             0.99497,              0.8307,             0.02194,            0.014799,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.024071,            0.027692,                   0,             0.99605,             0.99679,             0.99495,             0.80026,             0.02389,            0.015626,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.025891,             0.02712,                   0,             0.99465,             0.99679,             0.99492,             0.82728,            0.021226,            0.016231,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.021629,            0.024257,                   0,             0.99117,             0.99358,             0.99456,             0.79238,            0.021133,            0.014841,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.025981,            0.026714,                   0,             0.99839,               0.994,               0.995,             0.84353,            0.019758,              0.0143,                   0,            0.007261,            0.007261,            0.007261
                  85,             0.02395,            0.024789,                   0,             0.99753,             0.99358,             0.99498,             0.80998,            0.020001,            0.014042,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.024062,            0.022916,                   0,             0.99641,             0.99679,             0.99498,             0.82762,            0.019071,            0.013769,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.023558,            0.023964,                   0,              0.9952,             0.99772,             0.99498,             0.83399,            0.019733,            0.014484,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.023558,            0.023776,                   0,              0.9952,             0.99737,             0.99497,             0.82592,            0.020005,            0.013999,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.022566,            0.023882,                   0,              0.9952,              0.9976,             0.99495,             0.83552,            0.021462,            0.014337,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.023157,            0.023959,                   0,             0.99519,             0.99719,             0.99498,             0.79914,            0.021581,            0.014342,                   0,            0.007063,            0.007063,            0.007063
                  91,             0.02323,            0.025108,                   0,             0.99424,             0.99679,             0.99498,             0.85357,            0.019366,            0.013922,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.024529,            0.028595,                   0,             0.99737,             0.99679,             0.99495,             0.85616,            0.016956,             0.01343,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.021434,            0.026505,                   0,             0.99744,             0.99839,             0.99498,             0.85846,            0.018716,            0.013625,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.02099,            0.022795,                   0,             0.99669,             0.99839,               0.995,             0.83901,            0.020819,            0.014091,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.023532,            0.023879,                   0,             0.99883,             0.99518,               0.995,             0.84739,            0.019826,            0.013871,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.023332,            0.025016,                   0,             0.99679,             0.99697,             0.99497,             0.85149,            0.020118,            0.013995,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.023396,            0.024664,                   0,             0.99716,             0.99518,             0.99474,             0.84493,            0.019357,            0.014322,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.022651,            0.024488,                   0,             0.99679,             0.99634,             0.99444,             0.85244,            0.018881,            0.013714,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.023027,             0.02474,                   0,              0.9958,             0.99679,             0.99405,             0.85172,            0.018499,            0.013557,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.021678,            0.023266,                   0,             0.99546,             0.99679,             0.99401,              0.8561,            0.017924,            0.013297,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.022895,            0.024809,                   0,             0.99541,             0.99679,             0.99406,             0.85381,            0.018119,            0.013302,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.023216,            0.027192,                   0,             0.99595,             0.99679,             0.99393,             0.84215,            0.019708,            0.013602,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.023226,            0.024436,                   0,             0.99679,             0.99831,             0.99413,             0.86479,            0.018369,            0.013362,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.021932,            0.022443,                   0,             0.99273,             0.99679,             0.99405,             0.86464,            0.017396,            0.012903,                   0,            0.006601,            0.006601,            0.006601
                 105,             0.02122,            0.022019,                   0,             0.99653,             0.99839,             0.99444,             0.86516,            0.018227,            0.013902,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.021737,            0.027105,                   0,             0.99698,             0.99839,              0.9945,             0.86253,            0.017282,            0.014113,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.020169,            0.024094,                   0,             0.99742,             0.99839,             0.99441,             0.86681,            0.017998,            0.013454,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.021478,            0.023315,                   0,             0.99839,             0.99512,             0.99486,             0.85089,            0.018184,             0.01315,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.022111,            0.024189,                   0,             0.99832,             0.99679,             0.99495,             0.85514,            0.017758,            0.012964,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.022542,            0.027003,                   0,             0.99839,             0.99493,             0.99497,             0.87489,            0.017973,            0.013138,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.022004,            0.024528,                   0,             0.99808,             0.99358,             0.99497,             0.85188,            0.019076,            0.013366,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.021373,            0.023525,                   0,             0.99678,             0.99456,             0.99498,             0.86452,            0.018531,            0.013051,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.022903,            0.026672,                   0,             0.99733,             0.99358,             0.99498,             0.85581,            0.018078,            0.013398,                   0,            0.006304,            0.006304,            0.006304
                 114,             0.02002,            0.025187,                   0,             0.99361,             0.99816,             0.99498,             0.84494,            0.019687,            0.013906,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.020255,            0.022578,                   0,             0.99519,             0.99715,             0.99498,             0.84631,            0.019554,            0.013278,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.020295,            0.020248,                   0,             0.99553,             0.99679,               0.995,             0.87373,            0.018542,            0.013374,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.021342,            0.025123,                   0,             0.99839,             0.99674,               0.995,             0.86748,             0.01725,             0.01278,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.019324,            0.022016,                   0,             0.99704,             0.99839,               0.995,              0.8748,            0.016923,            0.012624,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.020181,            0.022416,                   0,               0.998,             0.99839,             0.99498,              0.8815,            0.016803,            0.012681,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.020478,             0.02275,                   0,             0.99733,             0.99839,             0.99498,             0.87219,            0.016681,            0.012681,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.020622,            0.022866,                   0,             0.99518,             0.99839,               0.995,             0.86801,            0.016969,            0.012879,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.019602,            0.021066,                   0,              0.9968,             0.99985,               0.995,             0.87897,            0.017287,            0.012903,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.020693,            0.022416,                   0,             0.99571,                   1,             0.99498,             0.88239,            0.016392,            0.012581,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.019176,            0.021838,                   0,             0.99679,             0.99833,             0.99498,             0.88166,            0.016827,            0.012578,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.020112,            0.027167,                   0,             0.99458,                   1,             0.99498,             0.89464,            0.015279,            0.012176,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.019453,            0.023231,                   0,             0.99428,                   1,               0.995,             0.86856,              0.0163,            0.012467,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.020377,            0.023315,                   0,             0.99594,             0.99839,             0.99498,              0.8834,            0.016096,            0.012707,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.018375,            0.021009,                   0,             0.99519,             0.99717,             0.99498,             0.87684,            0.015928,            0.012412,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.019916,            0.023291,                   0,             0.99697,             0.99518,             0.99497,             0.89155,            0.016253,            0.012398,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018532,             0.02043,                   0,              0.9952,             0.99858,             0.99497,             0.87027,            0.016489,            0.012265,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.018636,            0.022621,                   0,             0.99642,             0.99839,             0.99489,             0.89435,            0.014709,            0.011525,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.018025,            0.024521,                   0,              0.9952,             0.99938,              0.9944,             0.87694,            0.015759,            0.011811,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.017782,            0.021113,                   0,              0.9968,             0.99944,             0.99452,             0.88478,            0.015886,            0.012262,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.020608,            0.022475,                   0,              0.9968,             0.99977,             0.99461,             0.89028,            0.015935,            0.012463,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.019233,            0.023781,                   0,             0.99652,                   1,             0.99482,             0.88349,            0.016542,            0.012506,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.020997,            0.023086,                   0,             0.99679,             0.99805,             0.99484,             0.87165,            0.016912,            0.012805,                   0,            0.005545,            0.005545,            0.005545
